"type","title","content","agency_ein"
"closing","Fulfilled in Whole","Your request under the Freedom of Information Law (FOIL) has been reviewed and the documents you requested have been posted on the OpenRecords portal.",""
"closing","Fulfilled in Part","Your request under the Freedom of Information Law (FOIL) has been reviewed and is granted in part and denied in part because some of the records or portions of records are disclosable and others are exempt from disclosure under FOIL.",""
"closing","Fulfilled via Email","Your request under the Freedom of Information Law (FOIL) has been fulfilled and the documents you requested have been emailed to you.",""
"closing","Fulfilled via Fax","Your request under the Freedom of Information Law (FOIL) has been fulfilled and the documents you requested have been faxed to you.",""
"closing","Fulfilled via Mail","Your request under the Freedom of Information Law (FOIL) has been been fulfilled and the documents you requested have been mailed to you. Please allow 7 - 10 days for receipt.",""
"closing","Fulfilled via Pickup","Your request under the Freedom of Information Law has been fulfilled and the documents you requested are available to you for pickup.",""
"closing","Request Withdrawn","Your request under the Freedom of Information Law (FOIL) is closed because you voluntarily withdrew your request.",""
"closing","Closed - Fulfilled via Walk In","Your request under the Freedom of Information Law (FOIL) has been fulfilled via walk in.","0057"
"closing","Closed - Fulfilled via Walk In","Your request under the Freedom of Information Law (FOIL) has been fulfilled via walk in.","0056"
"closing","Closed - CIS Case","Because you and/or your client have demonstrated that you have an interest in the subject accident, §66-a of the Public Officers Law, rather than FOIL, governs the extent of disclosure that is available to you, and affords you greater access than could be obtained under FOIL.","0056"
"closing","Closed - CIS Case (Redacted)","Because you and/or your client have demonstrated that you have an interest in the subject accident, §66-a of the Public Officers Law, rather than FOIL, governs the extent of disclosure that is available to you, and affords you greater access than could be obtained under FOIL. Please note that if the case folder contained records that did not directly pertain to the accident, such records are not included in the provided document(s).","0056"
"closing","Closed - Requested Documents Provided","The requested documents were previously sent to you via email.","0056"
"closing","Closed - Document List","Responsive to your request, the following document(s) have been accessed:<p class=""mceEditable""></p>","0056"
"closing","Closed - Personal Privacy - Redacted","Redactions have been made to the document(s) in that release of information would represent an unwarranted invasion of personal privacy {§ 87.2 (b)}.","0056"
"closing","Closed - Endanger - Redacted","Redactions have been made to the document(s) in that release of information would endanger the life and safety of any person {§ 87.2 (f)}.","0056"
"closing","Closed - Non-Routine Investigative Techniques - Redacted","Redactions have been made to the document(s) in that release of information would reveal non-routine investigative techniques {§ 87.2 (e)(iv)}.","0056"
"closing","Closed - Final Agency Determination - Redacted","Redactions have been made to the document(s) in that release of information does not represent final agency determination {§87.2 (g)(iii)}.","0056"
"closing","Closed - Confidential Source - Redacted","Redactions have been made to the document(s) in that release of information would identify confidential source/confidential information {§87 .2 (e)(iii)}.","0056"
"closing","Closed - Document Found","Based on the information you provided, this unit conducted a diligent search and was only able to locate the following documents:<p class=""mceEditable""></p>","0056"
"closing","Closed - Payment Requested (Fill In Amount)","<span class=""mceNonEditable"">Upon receipt of payment for $</span><span class=""mceEditable"">______</span><span class=""mceNonEditable"">.</span><span class=""mceEditable"">____</span><span class=""mceNonEditable"">, the requested documents will be mailed.<br/>Payment Procedure: Please submit payment in check or money order to:<br/>""New York City Police Department""<br/>Mail payment to:<br/>New York City Police Department<br/>F.O.I.L Unit, Room 110C<br/>One Police Plaza,<br/>New York, NY 10038<br/>NOTE: Please include the FOIL number on the check or money order and issue a separate check or money order for each FOIL request #</span>","0056"
"denial","Denied - Reasons Attached","Your request under the Freedom of Information Law (FOIL) is denied. Please see the attached determination letter.",""
"denial","Denied - Reason Below","",""
"denial","Denied - Records Non-Responsive","Your request under the Freedom of Information Law (FOIL) is denied because no responsive records were found.",""
"denial","Denied - No Records","Your request under the Freedom of Information Law (FOIL) is denied because it is a request for information that is not contained in an existing agency record.",""
"denial","Denied - All Exempt","Your request under the Freedom of Information Law (FOIL) is denied because the records you requested are exempt from disclosure under FOIL.",""
"denial","Denied - Unknown","Your request under the Freedom of Information Law (FOIL) cannot be processed because it does not provide enough information to identify the records you would like to receive.",""
"denial","No Customer Response","We need more information from you in order to process your request under the Freedom of Information Law (FOIL). We have tried to contact you but have not received a response within the last 5 business days. We are closing this request due to lack of response. If you remain interested in these records, you may open a new FOIL request.",""
"denial","No Payment","The records you requested under the Freedom of Information Law (FOIL) could be provided to you at cost. We are closing this request because we have not received your payment to cover the record retrieval and/or duplication cost. If you still want a copy of these records, you may open a new FOIL request.",""
"denial","Public Record","Your request under the Freedom of Information Law (FOIL) is being closed because the records are publicly available.",""
"denial","Out of Jurisdiction","Your request under the Freedom of Information Law (FOIL) is being closed because the record is not a city record.",""
"denial","Refer to 311/NYC.gov","Your request is for general City information or services. You may search http://nyc.gov/ or call 311 for assistance.",""
"denial","Refer to OpenData","Your request is for data that is available through the City's OpenData site. You may visit http://nyc.gov/opendata to find this information",""
"denial","Refer to Other Agency","Your request under the Freedom of Information Law (FOIL) is being closed because this agency does not have the records requested. You should direct your request to a different agency.",""
"denial","Refer to Web Link","Your request under the Freedom of Information Law (FOIL) is being closed because the document or information you requested is publicly available.",""
"denial","Denied - Unrelated Collision Records","The case folder contained records that did not directly pertain to the collision. Such records have not been provided to you.","0056"
"denial","Denied - Refer to Court","In regard to the document(s) which you requested, I am unable to provide access to these records, for these records are not in the possession, custody, or control of this Department. It appears the information you seek may be available from the Court of original jurisdiction.","0056"
"denial","Denied - Refer to NYS DMV","In regard to the documents which you requested, I am unable to provide access to these records, for these records are not in the possession, custody or control of this Department. It appears the information you seek may be available from the Dept. of Motor Vehicles, Albany, NY.","0056"
